t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms,hold_mode,sigma_u
1763324697.7419906,0.13381527696752124,0.0,-0.13381527696752124,0.10737440595403314,0.0,0.13130499422550201,0.0,0.955600917339325,6.46005392074585,24.71327781677246,0,0.1
1763324697.767398,0.133871983528713,0.0,-0.133871983528713,0.1124843368306756,0.025581583380699158,0.13240469992160797,0.0,0.8592939376831055,6.555292129516602,25.33888816833496,0,0.1
1763324697.801663,0.13392510227047724,0.0,-0.13392510227047724,0.10884542646817863,0.08775540813803673,0.1291055828332901,0.0,1.6652917861938477,9.112488746643066,24.117231369018555,0,0.1
1763324697.824991,0.1338490384117798,0.0,-0.1338490384117798,0.15871960925869644,0.11532838270068169,0.1269061416387558,0.0,1.5496840476989746,7.338028907775879,23.247241973876953,0,0.1
1763324697.8483758,0.1334220050114749,0.0,-0.1334220050114749,0.1924719128292054,0.11676390829961747,0.12800587713718414,0.0,1.1062251329421997,7.977439880371094,23.317575454711914,0,0.1
1763324697.9075563,0.1307049389683084,0.0,-0.1307049389683084,0.17660146462731063,0.18676390829961748,0.13020528852939606,0.07192083448171616,0.8554102778434753,10.902295112609863,48.91371726989746,0,0.1
1763324697.9986238,0.12301639457908357,0.0,-0.12301639457908357,0.1443810674827546,0.17507437202613801,0.1697947084903717,0.13020528852939606,1.0251120328903198,14.095073699951172,80.72495460510254,0,0.1
1763324698.063684,0.11167017463735246,0.0,-0.11167017463735246,0.15550526860170066,0.14528820249717683,0.17859235405921936,0.17639294266700745,0.7672466039657593,14.11960506439209,54.77714538574219,0,0.1
1763324698.1551025,0.09053013107130987,0.0,-0.09053013107130987,0.10217488813214004,0.12046065140049905,0.17639294266700745,0.17199411988258362,0.47294604778289795,8.561702728271484,81.17532730102539,0,0.1
1763324698.1954598,0.06392192862768831,0.0,-0.06392192862768831,0.04964927467517555,0.11959747567772866,0.17419353127479553,0.16869501769542694,0.5730992555618286,10.216522216796875,30.191898345947266,0,0.095
1763324698.294576,0.05495038372733875,0.0,-0.05495038372733875,0.03042772295884788,0.14880167663097382,0.12800587713718414,0.14890028536319733,0.31525614857673645,9.388957023620605,88.7444019317627,0,0.095
1763324698.3821583,0.04110200947885744,0.0,-0.04110200947885744,0.0,0.21004317298531533,0.08951611816883087,0.13350440561771393,0.6609241366386414,18.44618034362793,77.10051536560059,0,0.095
1763324698.4669135,0.038680662809284776,0.0,-0.038680662809284776,0.0,0.20125460594892502,0.062023453414440155,0.13350440561771393,0.4430167078971863,65.82476806640625,74.56445693969727,0,0.095
1763324698.5470636,0.04628365540769487,0.0,-0.04628365540769487,0.0,0.13846481561660767,0.010337233543395996,0.2005864977836609,1.1955959796905518,53.43763732910156,69.94938850402832,0,0.095
1763324698.6311574,0.06273726046362105,0.0,-0.06273726046362105,0.07,0.0865715478360653,0.0015395879745483398,0.1950879693031311,2.0967178344726562,94.79872131347656,73.77910614013672,0,0.095
1763324698.7481651,0.11112640384011574,0.0,-0.11112640384011574,0.12281199514865876,0.016571547836065292,0.022434022277593613,0.14890028536319733,2.5038177967071533,66.34809112548828,106.70042037963867,0,0.1
1763324698.8346589,0.20441815447548378,0.0,-0.20441815447548378,0.19281199514865877,0.02573731169104576,0.07302054017782211,0.10821114480495453,6.328341960906982,59.85427474975586,76.25102996826172,0,0.1
1763324698.9202387,0.2490419693594115,0.0,-0.2490419693594115,0.24711563751101495,0.011396019719541073,0.1291055828332901,0.07521995157003403,6.706540107727051,17.0435791015625,75.32072067260742,0,0.1
1763324698.998708,0.2636133319473221,0.0,-0.2636133319473221,0.28064279943704606,0.011268181580817327,0.19178885221481323,0.05542521923780441,7.299332141876221,10.18769645690918,68.08829307556152,0,0.1
1763324699.0855494,0.24713362418296403,0.0,-0.24713362418296403,0.2557545763999224,0.0,0.2610704004764557,0.036730196326971054,6.391518592834473,8.778509140014648,76.45726203918457,0,0.1
1763324699.1669033,0.16864372681195144,0.0,-0.16864372681195144,0.18575457639992238,0.05333533138036728,0.27536657452583313,0.02683284506201744,3.7734382152557373,16.72831153869629,70.9984302520752,0,0.1
1763324699.2366877,0.06517171388430827,0.0,-0.06517171388430827,0.11575457639992237,0.12333533138036729,0.27206745743751526,0.011436939239501953,4.056278228759766,24.650413513183594,59.52262878417969,0,0.095
1763324699.305095,-0.016641034222479485,0.0,0.016641034222479485,0.07361525483429432,0.17239189118146897,0.24677416682243347,0.01913490518927574,22.017894744873047,38.48810577392578,58.11262130737305,0,0.09025
1763324699.345236,-0.10398446114313353,0.0,0.10398446114313353,0.14361525483429433,0.22567107498645783,0.20168620347976685,0.08181818574666977,15.24406909942627,45.56279373168945,29.94561195373535,0,0.1
1763324699.382462,-0.13654819742509655,0.0,0.13654819742509655,0.07375265069305897,0.29567107498645784,0.18079176545143127,0.11370967328548431,17.992435455322266,50.972007751464844,26.97157859802246,0,0.1
1763324699.4064004,-0.15049820700481054,0.0,0.15049820700481054,0.08464606821537018,0.2981993333529681,0.16099707782268524,0.13130499422550201,18.686738967895508,42.299537658691406,23.84805679321289,0,0.1
1763324699.4406595,-0.17169397504277542,0.0,0.17169397504277542,0.08355156372301281,0.3426325247716159,0.14999999105930328,0.16759531199932098,12.050000190734863,50.20032501220703,23.98681640625,0,0.1
1763324699.4645479,-0.1778242491761324,0.0,0.1778242491761324,0.05179871286265553,0.31600219952873887,0.14780057966709137,0.1873900294303894,10.809618949890137,54.5616340637207,23.817062377929688,0,0.1
1763324699.4895191,-0.1802660593433613,0.0,0.1802660593433613,0.05284950281959028,0.34156646217219533,0.12800587713718414,0.24677416682243347,12.514826774597168,81.00430297851562,24.89495277404785,0,0.1
1763324699.525059,-0.17265818848700484,0.0,0.17265818848700484,0.0,0.29885946596972646,0.12360702455043793,0.2709677517414093,7.393678665161133,114.64784240722656,25.24089813232422,0,0.1
1763324699.5489435,-0.1622241528450773,0.0,0.1622241528450773,0.0,0.22885946596972645,0.10931085050106049,0.31055721640586853,7.669246673583984,148.10157775878906,23.79751205444336,0,0.1
1763324699.5734816,-0.15316505670717542,0.0,0.15316505670717542,0.0,0.24706174845807255,0.10271261632442474,0.32265397906303406,2.7180228233337402,90.27882385253906,24.46603775024414,0,0.1
1763324699.608028,-0.12096301144053113,0.0,0.12096301144053113,0.0,0.20149026478640736,0.07631965726613998,0.32045456767082214,4.173895359039307,249.3734588623047,24.335622787475586,0,0.1
1763324699.6318438,-0.0984479961679139,0.0,0.0984479961679139,0.07,0.13149026478640735,0.04992669075727463,0.30835774540901184,4.667802333831787,195.80252075195312,23.73337745666504,0,0.1
1763324699.6572495,-0.07257404758144863,0.0,0.07257404758144863,0.05805576656013728,0.09940553898923099,0.03123166784644127,0.31055721640586853,1.4793821573257446,134.7555694580078,25.308847427368164,0,0.095
1763324699.6946692,-0.014513910531131713,0.0,0.014513910531131713,0.12805576656013729,0.029405538989230984,0.01253664493560791,0.28196480870246887,0.600409209728241,126.04505920410156,27.124404907226562,0,0.09025
1763324699.7293792,0.016234466639370927,0.0,-0.016234466639370927,0.1980557665601373,0.022190978350117796,0.029032256454229355,0.2258797585964203,0.3050118386745453,71.97897338867188,34.607887268066406,0,0.0857375
1763324699.8345652,0.10831656680480439,0.0,-0.10831656680480439,0.25742365051060917,0.0,0.1192082017660141,0.12580643594264984,3.8069992065429688,55.88685989379883,94.80476379394531,0,0.1
1763324699.9072237,0.22484606163488763,0.0,-0.22484606163488763,0.3274236505106092,0.0,0.19398826360702515,0.086217001080513,14.377607345581055,34.69831085205078,62.44254112243652,0,0.1
1763324699.973561,0.2645915258536071,0.0,-0.2645915258536071,0.37908557031303647,0.0,0.25227269530296326,0.021334316581487656,11.837630271911621,21.47870635986328,56.154727935791016,0,0.1
1763324700.0954921,0.24821710103768038,0.0,-0.24821710103768038,0.4177200642600656,0.06750480085611343,0.3556451201438904,0.0015395879745483398,11.339860916137695,16.05314826965332,111.70244216918945,0,0.1
1763324700.2343686,0.10328193987524206,0.0,-0.10328193987524206,0.3896024988219142,0.07746384758502245,0.410630464553833,0.030131962150335312,6.240196228027344,11.718131065368652,128.58200073242188,0,0.1
1763324700.4014947,-0.11750254212339582,0.0,0.11750254212339582,0.3196024988219142,0.14746384758502246,0.4051319360733032,0.07192083448171616,31.616209030151367,73.58062744140625,156.8429470062256,0,0.1
1763324700.4907274,-0.2809331738696621,0.0,0.2809331738696621,0.2496024988219142,0.21746384758502246,0.3479471802711487,0.10161291062831879,50.39701843261719,91.35340881347656,78.81712913513184,0,0.1
1763324700.5734577,-0.33133069938242327,0.0,0.33133069938242327,0.1796024988219142,0.2327515830844641,0.29296186566352844,0.17419353127479553,41.670570373535156,67.12935638427734,72.42751121520996,0,0.1
1763324700.667219,-0.34790470417481295,0.0,0.34790470417481295,0.1981019514426589,0.3027515830844641,0.24787387251853943,0.2203812301158905,38.34242630004883,64.7500991821289,83.48917961120605,0,0.1
1763324700.8069315,-0.32712551941848866,0.0,0.32712551941848866,0.1281019514426589,0.37005676053464415,0.19178885221481323,0.28526392579078674,20.54026985168457,45.37118911743164,129.2273998260498,0,0.1
1763324700.8988438,-0.21478364194610977,0.0,0.21478364194610977,0.1981019514426589,0.44005676053464415,0.16869501769542694,0.3270528018474579,12.401603698730469,258.27056884765625,81.47478103637695,0,0.1
1763324700.993279,-0.13639713676387524,0.0,0.13639713676387524,0.2681019514426589,0.37005676053464415,0.1620967835187912,0.3908357620239258,15.459226608276367,427.1324462890625,84.21158790588379,0,0.1
1763324701.0834088,-0.025990863371301777,0.0,0.025990863371301777,0.3381019514426589,0.30005676053464414,0.18079176545143127,0.4183284044265747,0.5792945027351379,150.52586364746094,79.83970642089844,0,0.095
1763324701.1429276,0.06048271658137329,0.0,-0.06048271658137329,0.40810195144265893,0.23005676053464413,0.23797652125358582,0.39633429050445557,2.3019444942474365,35.51640319824219,49.34501647949219,0,0.095
1763324701.1787524,0.11277834331050618,0.0,-0.11277834331050618,0.45997763957828286,0.20327108509838582,0.2863636314868927,0.3523460030555725,2.808603286743164,10.951018333435059,25.57086944580078,0,0.1
1763324701.2031646,0.1279596446615595,0.0,-0.1279596446615595,0.4588217165740207,0.18093439906835557,0.3061583340167999,0.3292522132396698,3.415550470352173,5.9109954833984375,24.29938316345215,0,0.1
1763324701.238231,0.15393323184705437,0.0,-0.15393323184705437,0.4983236518176273,0.1368056420981884,0.3468474745750427,0.2764662802219391,3.3175973892211914,5.307707786560059,24.809598922729492,0,0.1
1763324701.2622104,0.1634892115020577,0.0,-0.1634892115020577,0.47932523940224203,0.13505261454731227,0.36884164810180664,0.2610704004764557,3.5221331119537354,5.011236667633057,23.909807205200195,0,0.1
1763324701.2940938,0.17294944236383367,0.0,-0.17294944236383367,0.48274900051299485,0.20505261454731227,0.4062316417694092,0.2203812301158905,2.917912006378174,5.215579032897949,31.79192543029785,0,0.1
1763324701.363905,0.17231707782588004,0.0,-0.17231707782588004,0.5094207491213456,0.193182115778327,0.4513196349143982,0.18409091234207153,2.838916063308716,5.950202941894531,59.5250129699707,0,0.1
1763324701.4667883,0.13719402223840196,0.0,-0.13719402223840196,0.47915798644069585,0.23295094572007657,0.49530792236328125,0.18848973512649536,2.7388739585876465,10.13700008392334,92.66424179077148,0,0.1
1763324701.5493004,0.0433951821581999,0.0,-0.0433951821581999,0.5104464500630275,0.3029509457200766,0.5052052736282349,0.1873900294303894,0.781532883644104,15.074785232543945,72.16572761535645,0,0.095
1763324701.6311085,-0.02518968972008318,0.0,0.02518968972008318,0.44044645006302746,0.3729509457200766,0.501906156539917,0.22478005290031433,3.5033464431762695,26.684825897216797,71.38371467590332,0,0.09025
1763324701.69975,-0.08083872339248362,0.0,0.08083872339248362,0.37366723144892605,0.4429509457200766,0.4942082166671753,0.28966274857521057,6.386894226074219,26.065364837646484,58.36153030395508,0,0.095
1763324701.7337737,-0.11151178441340386,0.0,0.11151178441340386,0.37997576330322774,0.5129509457200766,0.47001463174819946,0.33035191893577576,5.204207420349121,16.196800231933594,23.886919021606445,0,0.1
1763324701.7574196,-0.12675940193885607,0.0,0.12675940193885607,0.3698596490221098,0.5005781548842788,0.46011728048324585,0.3501465916633606,3.686108112335205,19.638980865478516,23.5595703125,0,0.1
1763324701.7819436,-0.12675940193885607,0.0,0.12675940193885607,0.3973918540077284,0.5234876806661487,0.4249266982078552,0.36884164810180664,4.881654739379883,35.78673553466797,24.439096450805664,0,0.1
1763324701.816315,-0.1375314301702086,0.0,0.1375314301702086,0.3273918540077284,0.5265702873747796,0.3952345848083496,0.4062316417694092,4.448479652404785,45.91455841064453,24.184226989746094,0,0.1
1763324701.8402755,-0.14037985803445716,0.0,0.14037985803445716,0.3973918540077284,0.50733129943721,0.3875366449356079,0.42712610960006714,1.965527057647705,66.22698974609375,23.856163024902344,0,0.1
1763324701.8640275,-0.14025436385545037,0.0,0.14025436385545037,0.4439637234108523,0.5043890574760735,0.38863635063171387,0.44472140073776245,3.535194158554077,63.30411911010742,23.668527603149414,0,0.1
1763324701.8995242,-0.1319602734837017,0.0,0.1319602734837017,0.43383438714314254,0.5480544926412404,0.3699413537979126,0.4744134545326233,2.6269805431365967,26.01099395751953,25.362014770507812,0,0.1
1763324701.923156,-0.12509048249157873,0.0,0.12509048249157873,0.5012765286164358,0.6180544926412403,0.37653958797454834,0.4865102767944336,3.1303937435150146,85.58580017089844,23.541927337646484,0,0.1
1763324701.9550056,-0.11686040216591018,0.0,0.11686040216591018,0.5209601150499656,0.5850327147729695,0.3743401765823364,0.503005862236023,1.7465463876724243,109.50933837890625,31.77642822265625,0,0.1
1763324701.9999795,-0.09952059583920365,0.0,0.09952059583920365,0.5446285625593736,0.5150327147729694,0.3820381164550781,0.5217008590698242,2.1742818355560303,89.11665344238281,34.78503227233887,0,0.1
1763324702.046122,-0.08145892089526198,0.0,0.08145892089526198,0.5139074215339496,0.5153103606880176,0.4084310531616211,0.5337976217269897,0.8638043403625488,47.76807403564453,35.943031311035156,0,0.095
1763324702.0963113,-0.05453265870732224,0.0,0.05453265870732224,0.5839074215339497,0.4587790580571163,0.4612169861793518,0.5337976217269897,0.9469295740127563,59.538394927978516,39.90983963012695,0,0.095
1763324702.2223625,-0.03875099359272278,0.0,0.03875099359272278,0.5936076006339863,0.39986249302630306,0.5326979160308838,0.4645161032676697,0.2211960107088089,23.911117553710938,115.63920974731445,0,0.095
1763324702.3103483,-0.006236131978010375,0.0,0.006236131978010375,0.582279458497651,0.39674457382527173,0.5568915009498596,0.4282258152961731,0.2148541957139969,5.898529052734375,77.75402069091797,0,0.09025
1763324702.3940856,0.0064745795987892155,0.0,-0.0064745795987892155,0.569678345550783,0.4317757136758882,0.572287380695343,0.3831378221511841,0.37581974267959595,5.541965961456299,73.40025901794434,0,0.0857375
1763324702.477505,0.006086042693099204,0.0,-0.006086042693099204,0.5969773231493309,0.41145718690124333,0.5777859091758728,0.3831378221511841,0.16455848515033722,4.758954048156738,73.04096221923828,0,0.08145062499999998
1763324702.63082,-0.0006278087082826668,0.0,0.0006278087082826668,0.597323030642001,0.44739935021963895,0.5766862034797668,0.40953075885772705,0.1986231803894043,3.66463041305542,142.9579257965088,0,0.07737809374999999
1763324702.720663,-0.015581742794109128,0.0,0.015581742794109128,0.5729936737928074,0.4554725311335641,0.5766862034797668,0.41173017024993896,0.16588997840881348,4.519402980804443,79.59246635437012,0,0.07350918906249998
1763324702.805774,-0.020097052833454022,0.0,0.020097052833454022,0.5617448337737005,0.47726598415640176,0.573387086391449,0.42382699251174927,0.2735835313796997,4.762863636016846,74.73468780517578,0,0.06983372960937498
