t,theta_ref_deg,theta_pred_deg,p1_MPa,p2_MPa,ps_MPa,pd_MPa,z,ok,mpa_cmd_x,mpa_cmd_y
0.6900000000000001,30.0,-5.2502545651748775,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.7000000000000001,30.0,-5.276683350184096,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.71,30.0,-5.302024291213029,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.72,30.0,-5.326317222259802,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.73,30.0,-5.34960130582653,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.74,30.0,-5.371914903024466,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.75,30.0,-5.393295473456618,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.76,30.0,-5.413779500117002,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.77,30.0,-5.4334024349629715,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.78,30.0,-5.452198661619568,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.79,30.0,-5.470201472194813,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.8,30.0,-5.487443055680119,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.81,30.0,-5.503954495808755,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.8200000000000001,30.0,-5.519765776589138,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.8300000000000001,30.0,-5.534905794017473,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
0.84,30.0,-5.549402372718188,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
