time,target_deg,actual_deg,error_deg,p_term,i_term,d_term,pd_cmd,p1,p2,error_integral
36.53352236747742,0.0,0.5275945150299558,-0.5275945150299558,-0.011280120218350911,-0.031058418937700148,2.2430461535669424e-06,-0.04233629610989749,0.15383185194505125,0.19616814805494873,-0.010318411607209352
36.55346751213074,0.0,0.5275945150299558,-0.5275945150299558,-0.011280120218350911,-0.031058418937700148,0.0,-0.042338539156051055,0.15383073042197445,0.19616926957802552,-0.010318411607209352
36.57352924346924,0.0,0.5275443620239646,-0.5275443620239646,-0.011279047932872622,-0.031058418937700148,1.794436922853554e-06,-0.04233567243364992,0.15383216378317502,0.19616783621682496,-0.010318411607209352
36.59369230270386,0.0,0.5275042396191717,-0.5275042396191717,-0.011278190104489992,-0.031058418937700148,1.4355495382785758e-06,-0.04233517349265186,0.15383241325367406,0.19616758674632592,-0.010318411607209352
36.613479137420654,0.0,0.5274721416953374,-0.5274721416953374,-0.011277503841783887,-0.031058418937700148,1.1484396306249943e-06,-0.04233477433985341,0.1538326128300733,0.19616738716992668,-0.010318411607209352
36.633519649505615,0.0,0.5274464633562699,-0.5274464633562699,-0.011276954831619002,-0.031058418937700148,9.187517045021292e-07,-0.042334455017614646,0.15383277249119268,0.1961672275088073,-0.010318411607209352
36.65362000465393,0.0,0.5274259206850159,-0.5274259206850159,-0.011276515623487094,-0.031058418937700148,7.350013635995696e-07,-0.04233419955982364,0.15383290022008816,0.1961670997799118,-0.010318411607209352
36.673484086990356,0.0,0.5274094865480127,-0.5274094865480127,-0.011276164256981566,-0.031058418937700148,5.880010908817894e-07,-0.04233399519359083,0.15383300240320458,0.1961669975967954,-0.010318411607209352
36.69354271888733,0.0,0.5273963392384102,-0.5273963392384102,-0.011275883163777149,-0.031058418937700148,4.704008727011641e-07,-0.0423338317006046,0.15383308414969768,0.1961669158503023,-0.010318411607209352
36.71348190307617,0.0,0.5273858213907283,-0.5273858213907283,-0.011275658289213612,-0.031058418937700148,3.763206981609313e-07,-0.042333700906215604,0.1538331495468922,0.19616685045310778,-0.010318411607209352
